molecule_number,Ar-,intermediate,B_(OH)3,delta_E
101,-644.0544565,-896.6488884,-252.5446122,0.0498197
102,-2529.760832,-2782.319239,-252.5446122,0.0137948
103,-13098.8047,-13351.35539,-252.5446122,0.0060778
104,-323.986534,-576.5800586,-252.5446122,0.0489124
105,-365.6927213,-618.2846407,-252.5446122,0.0473072
107,-1150.929595,-1403.520625,-252.5446122,0.0464178
108,-669.2242728,-921.8225089,-252.5446122,0.0536239
109,-306.9557855,-559.5524343,-252.5446122,0.0520366
110,-568.8300554,-821.4135547,-252.5446122,0.0388871
111,-5378.569831,-5631.133104,-252.5446122,0.0186608
112,-691.3212295,-943.9160306,-252.5446122,0.0501889
113,-568.8254843,-821.4206554,-252.5446122,0.0505589
114,-271.0314971,-523.6283822,-252.5446122,0.0522729
115,-385.3750966,-637.9693319,-252.5446122,0.0496231
116,-346.2550054,-598.8524965,-252.5446122,0.0528789
117,-385.3739253,-637.9700627,-252.5446122,0.0515252
118,-345.0702153,-597.6639151,-252.5446122,0.0490876
119,-346.2603639,-598.8543244,-252.5446122,0.0493483
120,-323.9857431,-576.5778411,-252.5446122,0.0474858
121,-271.0321177,-523.63141,-252.5446122,0.0546801
122,-2805.130692,-3057.725347,-252.5446122,0.0500428
123,-388.9847744,-641.583927,-252.5446122,0.0545404
124,-459.6415173,-712.2360373,-252.5446122,0.0499078
126,-436.2866217,-688.8727411,-252.5446122,0.0415072
127,-384.3960227,-636.9904871,-252.5446122,0.0498522
128,-790.5866155,-1043.177223,-252.5446122,0.0459953
129,-306.9528298,-559.5501401,-252.5446122,0.0526981
130,-568.8260941,-821.4218401,-252.5446122,0.0511338
131,-691.3331555,-943.9142856,-252.5446122,0.0365179
133,-310.352716,-562.9530636,-252.5446122,0.0557354
135,-436.2792322,-688.871231,-252.5446122,0.0473866
136,-420.2759621,-672.8719484,-252.5446122,0.0513741
137,-460.7923034,-713.3919636,-252.5446122,0.055048
138,-420.3406942,-672.9305083,-252.5446122,0.0452019
139,-345.0699685,-597.662597,-252.5446122,0.0480163
140,-309.1217265,-561.7179515,-252.5446122,0.0516128
142,-345.0689764,-597.6636316,-252.5446122,0.050043
148,-1150.951987,-1403.519704,-252.5446122,0.0231048
149,-2805.142124,-3057.724994,-252.5446122,0.0382578
150,-2805.134632,-3057.727041,-252.5446122,0.0477968